2022-08-13,19:00,La Liga,Matchweek 1,Sat,Home,L,0,3,Villarreal,1.0,1.5,51,"17,543",Roque Mesa,4-1-4-1,Mario Melero,Match Report,Unnamed: 18
2022-08-19,22:00,La Liga,Matchweek 2,Fri,Away,D,1.0,1.0,Sevilla,0.5,2.0,39.0,33991.0,Roque Mesa,4-3-3,Juan Pulido,Match Report,
2022-08-28,19:30,La Liga,Matchweek 3,Sun,Away,L,0.0,4.0,Barcelona,0.8,2.6,33.0,83972.0,Jordi Masip,4-1-4-1,Ricardo de Burgos,Match Report,
2022-09-05,21:00,La Liga,Matchweek 4,Mon,Home,W,1.0,0.0,Almería,1.2,0.5,51.0,20260.0,Roque Mesa,4-3-3,Pablo González,Match Report,
2022-09-09,21:00,La Liga,Matchweek 5,Fri,Away,L,1.0,2.0,Girona,0.6,1.7,55.0,10053.0,Roque Mesa,4-1-4-1,César Soto,Match Report,
2022-09-16,21:00,La Liga,Matchweek 6,Fri,Home,L,0.0,1.0,Cádiz,1.5,0.3,57.0,20295.0,Roque Mesa,4-3-3,José Sánchez,Match Report,
2022-10-01,16:15,La Liga,Matchweek 7,Sat,Away,W,3.0,2.0,Getafe,1.6,2.8,56.0,10958.0,Jordi Masip,4-3-3,Alejandro Muñíz,Match Report,
2022-10-09,14:00,La Liga,Matchweek 8,Sun,Home,D,0.0,0.0,Betis,0.6,0.5,58.0,22561.0,Jordi Masip,4-3-3,Carlos del Cerro,Match Report,
2022-10-16,18:30,La Liga,Matchweek 9,Sun,Away,L,0.0,1.0,Espanyol,0.7,1.3,51.0,17770.0,Jordi Masip,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-10-19,19:00,La Liga,Matchweek 10,Wed,Home,W,4.0,1.0,Celta Vigo,1.5,2.6,38.0,16547.0,Jordi Masip,5-3-2,Valentín Pizarro,Match Report,
2022-10-22,16:15,La Liga,Matchweek 11,Sat,Home,W,1.0,0.0,Real Sociedad,0.8,0.9,26.0,21175.0,Jordi Masip,3-5-2,Jorge Figueroa,Match Report,
2022-10-30,14:00,La Liga,Matchweek 12,Sun,Away,L,0.0,2.0,Osasuna,0.5,2.5,52.0,19429.0,Jordi Masip,3-5-2,Guillermo Cuadra,Match Report,
2022-11-05,16:15,La Liga,Matchweek 13,Sat,Home,W,2.0,1.0,Elche,1.9,0.2,51.0,20176.0,Jordi Masip,4-3-3,Ricardo de Burgos,Match Report,
2022-11-08,20:00,La Liga,Matchweek 14,Tue,Away,L,0.0,3.0,Athletic Club,0.5,2.1,57.0,40072.0,Jordi Masip,4-4-2,Isidro Díaz de Mera,Match Report,
2022-11-12,16:00,Copa del Rey,First round,Sat,Away,W,2.0,0.0,UD Barbadás,,,,3000.0,Jordi Masip,4-3-3,Pablo González,Match Report,
2022-12-21,21:00,Copa del Rey,Second round,Wed,Away,W,5.0,1.0,Arenas Club de Getxo,,,63.0,1200.0,Roque Mesa,4-2-3-1,Carlos del Cerro,Match Report,
2022-12-30,21:30,La Liga,Matchweek 15,Fri,Home,L,0.0,2.0,Real Madrid,0.6,2.3,39.0,25950.0,Jordi Masip,4-3-3,José Luis Munuera,Match Report,
