9,Osasuna,27,9.1,8,10,22,27.1,-5,35,1.30,27.4,29.8,-2.3,-0.09,W D L L D,"19,501",Ezequiel Ávila - 7,Aitor Fernández,Unnamed: 19
10,Celta Vigo,27,9,8,10,34,37,-3,35,1.3,34.4,30.0,4.4,0.16,W D W W D,14063,Iago Aspas - 12,Agustín Marchesín,
11,Girona,27,9,7,11,42,42,0,34,1.26,37.1,36.3,0.8,0.03,W L L D W,11234,Cristhian Stuani - 7,Paulo Gazzaniga,
12,Mallorca,27,9,6,12,22,27,-5,33,1.22,22.8,29.1,-6.3,-0.23,L L D L D,14582,Vedat Muriqi - 10,Predrag Rajković,
13,Sevilla,27,8,7,12,31,42,-11,31,1.15,32.9,42.7,-9.8,-0.36,L L W L W,36395,Youssef En-Nesyri - 6,Yassine Bounou,
