2022-08-14,17:30,La Liga,Matchweek 1,Sun,Away,W,1,0,Cádiz,1.5,0.2,59,"16,570",Aritz Elustondo,4-1-2-1-2◆,Isidro Díaz de Mera,Match Report,Unnamed: 18
2022-08-21,22:00,La Liga,Matchweek 2,Sun,Home,L,1.0,4.0,Barcelona,0.8,2.1,42.0,36201.0,Aritz Elustondo,4-1-2-1-2◆,José Luis Munuera,Match Report,
2022-08-27,17:30,La Liga,Matchweek 3,Sat,Away,W,1.0,0.0,Elche,1.8,0.7,55.0,22656.0,Mikel Merino,4-1-2-1-2◆,Javier Villanueva,Match Report,
2022-09-03,18:30,La Liga,Matchweek 4,Sat,Home,D,1.0,1.0,Atlético Madrid,1.5,1.4,54.0,35366.0,Mikel Merino,4-1-2-1-2◆,César Soto,Match Report,
2022-09-08,20:00,Europa Lg,Group stage,Thu,Away,W,1.0,0.0,eng Manchester Utd,1.1,0.8,45.0,74310.0,Aritz Elustondo,4-1-4-1,Marco Di Bello,Match Report,
2022-09-11,18:30,La Liga,Matchweek 5,Sun,Away,L,1.0,2.0,Getafe,1.2,1.1,66.0,11112.0,Mikel Merino,4-1-2-1-2◆,Juan Pulido,Match Report,
2022-09-15,18:45,Europa Lg,Group stage,Thu,Home,W,2.0,1.0,cy AC Omonia,1.1,0.2,70.0,28587.0,Asier Illarramendi,4-3-3,Kristo Tohver,Match Report,
2022-09-18,18:30,La Liga,Matchweek 6,Sun,Home,W,2.0,1.0,Espanyol,1.9,0.8,62.0,31511.0,Aritz Elustondo,4-1-3-2,Carlos del Cerro,Match Report,
2022-10-02,18:30,La Liga,Matchweek 7,Sun,Away,W,5.0,3.0,Girona,2.1,1.0,59.0,12217.0,Aritz Elustondo,4-4-2,Mario Melero,Match Report,
2022-10-06,19:45,Europa Lg,Group stage,Thu,Away,W,2.0,0.0,md Sheriff Tiraspol,1.5,0.4,65.0,5427.0,Aritz Elustondo,4-2-3-1,Harald Lechner,Match Report,
2022-10-09,18:30,La Liga,Matchweek 8,Sun,Home,W,1.0,0.0,Villarreal,1.2,0.2,60.0,32689.0,Aritz Elustondo,4-1-3-2,César Soto,Match Report,
2022-10-13,21:00,Europa Lg,Group stage,Thu,Home,W,3.0,0.0,md Sheriff Tiraspol,2.2,0.2,68.0,25806.0,Aritz Elustondo,4-1-2-1-2◆,Enea Jorgji,Match Report,
2022-10-16,14:00,La Liga,Matchweek 9,Sun,Away,W,2.0,1.0,Celta Vigo,0.8,0.5,47.0,13101.0,Asier Illarramendi,4-4-2,Guillermo Cuadra,Match Report,
2022-10-19,20:00,La Liga,Matchweek 10,Wed,Home,W,1.0,0.0,Mallorca,1.2,0.9,51.0,27085.0,Aritz Elustondo,4-1-3-2,Miguel Ángel Ortiz Arias,Match Report,
2022-10-22,16:15,La Liga,Matchweek 11,Sat,Away,L,0.0,1.0,Valladolid,0.9,0.8,74.0,21175.0,Mikel Merino,4-1-3-2,Jorge Figueroa,Match Report,
2022-10-27,22:00,Europa Lg,Group stage,Thu,Away,W,2.0,0.0,cy AC Omonia,1.3,0.3,63.0,11780.0,Asier Illarramendi,4-5-1,Tamás Bognár,Match Report,
2022-10-30,21:00,La Liga,Matchweek 12,Sun,Home,L,0.0,2.0,Betis,0.9,1.3,58.0,32435.0,Mikel Merino,4-1-3-2,Javier Villanueva,Match Report,
2022-11-03,18:45,Europa Lg,Group stage,Thu,Home,L,0.0,1.0,eng Manchester Utd,1.1,0.7,47.0,36744.0,Mikel Merino,4-3-1-2,Georgi Kabakov,Match Report,
2022-11-06,16:15,La Liga,Matchweek 13,Sun,Home,D,1.0,1.0,Valencia,1.1,0.9,29.0,32773.0,Asier Illarramendi,4-3-1-2,José Luis Munuera,Match Report,
2022-11-09,19:00,La Liga,Matchweek 14,Wed,Away,W,2.0,1.0,Sevilla,1.7,0.6,68.0,34814.0,Mikel Merino,4-3-1-2,Carlos del Cerro,Match Report,
2022-11-13,19:00,Copa del Rey,First round,Sun,Away,W,4.0,1.0,CD Cazalegas,,,72.0,4200.0,Asier Illarramendi,4-1-4-1,Mario Melero,Match Report,
2022-12-21,21:00,Copa del Rey,Second round,Wed,Away,W,5.0,0.0,CD Coria,,,63.0,4389.0,Aritz Elustondo,4-1-4-1,Alejandro Muñíz,Match Report,
2022-12-31,16:15,La Liga,Matchweek 15,Sat,Home,W,2.0,0.0,Osasuna,1.4,0.4,51.0,34847.0,Aritz Elustondo,4-1-3-2,Valentín Pizarro,Match Report,
2023-01-04,19:00,Copa del Rey,Round of 32,Wed,Away,W,1.0,0.0,UD Logroñés,,,60.0,15000.0,Asier Illarramendi,4-1-3-2,Pablo González,Match Report,
2023-01-08,14:00,La Liga,Matchweek 16,Sun,Away,W,2.0,0.0,Almería,1.7,0.6,56.0,12020.0,Asier Illarramendi,4-1-3-2,Alberola Rojas,Match Report,
2023-01-14,21:00,La Liga,Matchweek 17,Sat,Home,W,3.0,1.0,Athletic Club,2.0,0.3,57.0,38296.0,Aritz Elustondo,4-1-3-2,Guillermo Cuadra,Match Report,
2023-01-17,19:00,Copa del Rey,Round of 16,Tue,Home,W,1.0,0.0,Mallorca,,,57.0,23408.0,Mikel Oyarzabal,4-1-3-2,Alejandro Hernández,Match Report,
2023-01-21,14:00,La Liga,Matchweek 18,Sat,Away,W,2.0,0.0,Rayo Vallecano,1.6,0.9,46.0,12874.0,Asier Illarramendi,4-1-2-1-2◆,Antonio Matéu,Match Report,
2023-01-25,21:00,Copa del Rey,Quarter-finals,Wed,Away,L,0.0,1.0,Barcelona,,,26.0,59610.0,Mikel Oyarzabal,4-4-2◆,Jesús Gil,Match Report,
2023-01-29,21:00,La Liga,Matchweek 19,Sun,Away,D,0.0,0.0,Real Madrid,0.4,1.3,39.0,58129.0,Asier Illarramendi,4-3-3,Mario Melero,Match Report,
2023-02-05,18:30,La Liga,Matchweek 20,Sun,Home,L,0.0,1.0,Valladolid,1.2,0.7,55.0,32214.0,Asier Illarramendi,4-3-2-1,Pablo González,Match Report,
